,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Astro,Endo,ExcitatoryL2and3,ExcitatoryL4,ExcitatoryL5,ExcitatoryL6,HPC,Micro,Npy,Olig,Other,Pvalb,Smc,Sst,Vip
1,141,150,258,198,94,287,9,23,11,200,40,42,13,42,15
